GEOID,car_access,transit_access,ratio
48453002412,735175,1233,0.0016771516985751693
48055960500,39966,1143,0.02859930941300105
48453000500,844598,32675,0.03868704401383854
48453002307,794887,9308,0.011709840518212023
48453001805,854036,6050,0.007084010510095593
48453001501,845868,4919,0.005815328159949306
48453000901,841477,22620,0.02688130513371132
48453000802,809458,4734,0.005848357790027401
48453002212,706426,988,0.0013985895196382918
48491020602,696091,3279,0.004710591000314614
48453000305,831044,15707,0.018900322967255644
48453001823,864108,3465,0.004009915427238262
48491020327,662201,1958,0.0029568061661036454
48453001817,857262,12952,0.015108566575912615
48453002005,791470,4054,0.005122114546350462
48453001745,819629,14164,0.017280989325658316
48453001863,826234,3972,0.004807354817158336
48453001307,738077,6150,0.008332463957012615
48453002500,832109,6332,0.007609579994928549
48453002316,823476,5759,0.006993525008621988
48021950600,6529,441,0.06754480012253025
48209010908,382962,1662,0.004339856173719586
48453000205,860340,17590,0.020445405304879465
48453001804,886070,12313,0.013896193303012177
48453000804,803510,12733,0.01584672250500927
48453001754,845012,12987,0.015369012511064931
48453001782,727838,437,6.004083326234685e-4
48453001714,297558,5088,0.017099187385316475
48055960102,10687,389,0.03639936371292224
48021950100,127084,716,0.005634068804884958
48453002110,753103,888,0.001179121580978963
48453001811,856098,3919,0.0045777469401867546
48491020113,445249,1321,0.0029668792069156807
48453000204,871035,30549,0.0350720694346381
48453001401,814722,32015,0.03929561249113194
48491020806,428784,2231,0.00520308593604239
48453002002,789369,4402,0.005576606124638794
48453002108,746185,1369,0.001834665666021161
48453001505,854876,13437,0.0157180690532896
48453001713,722645,1457,0.002016204360370583
48491020508,704655,3111,0.004414926453370799
48491020409,696064,3111,0.004469416605369621
48453980000,554116,2570,0.004638018032325362
48491020706,551636,489,8.864541110442393e-4
48055960600,2263,368,0.16261599646486966
48021950300,52780,3679,0.06970443349753695
48453001846,740909,1165,0.0015723928309684455
48491020111,346214,1167,0.0033707475723107672
48453002409,716707,1693,0.0023621926393909923
48453000203,879746,33130,0.03765859691319995
48453000401,861887,33768,0.03917914993496827
48453002419,659302,1228,0.0018625758756988452
48453000601,817852,51833,0.06337699241427544
48453002004,782493,4194,0.005359792355969958
48491020321,532071,380,7.141903994015836e-4
48453001403,835576,8648,0.01034974676151541
48453000801,811788,4093,0.005041956767037699
48453001752,864708,11006,0.012727996040281806
48491020404,759972,1800,0.0023685083134641805
48453002429,687986,210,3.0523876939356323e-4
48453000604,864873,32376,0.03743439788269492
48453001504,841544,6864,0.008156436264770469
48453002201,785269,2107,0.002683156981875001
48209010805,155237,1306,0.008412942790700671
48453001844,801806,7267,0.009063289623674555
48453002427,733487,1141,0.0015555831255359672
48209010909,235480,565,0.0023993545099371496
48453001829,814819,2037,0.00249994170484488
48453001853,787052,3088,0.003923501877893709
48453002318,660865,1319,0.0019958690504112034
48491021203,65818,2108,0.03202771278373697
48453002434,402036,424,0.0010546319235093375
48453001753,886857,11745,0.013243397751835978
48453001746,645841,1837,0.002844353331547548
48453001832,831930,833,0.0010012861659033812
48453002106,804704,3167,0.003935608621306716
48453002319,717638,2733,0.0038083267608459976
48453001749,756862,7026,0.009283066133588421
48491021300,21270,301,0.014151386929948283
48491021201,186660,536,0.002871531126111647
48453001850,847242,5657,0.006676958885418806
48453001854,168475,463,0.002748182222881733
48453001859,355979,158,4.438464066700564e-4
48209010809,74026,2309,0.03119174344149353
48453001750,4596,4611,1.0032637075718016
48491021506,430850,285,6.614831147731229e-4
48453001778,315293,2604,0.008258984500131624
48055960101,194447,352,0.0018102619222718787
48453001000,837439,9617,0.011483821508193432
48453001833,825586,1755,0.002125762791520205
48453002208,793672,4081,0.005141922607827919
48453000206,834667,9390,0.011249995507190292
48021950501,33073,534,0.016146101049194207
48491020318,693218,3858,0.005565348851299303
48453001834,757188,13764,0.018177784117022457
48453001768,123526,3762,0.03045512685588459
48491020603,476338,1645,0.003453430127346548
48491020804,393507,1588,0.0040355063569390125
48453001841,684706,6289,0.009184964057566313
48453002435,402787,1200,0.0029792421304560474
48453002113,804621,697,8.662463445522799e-4
48453001774,537071,887,0.0016515507260678756
48453001308,805716,9141,0.01134518862725824
48453001772,430723,1126,0.0026142091320872115
48491020328,570574,988,0.0017315895922351877
48491020109,131760,1031,0.007824833029751063
48491020202,27744,1211,0.04364907727797001
48491020326,620584,1394,0.002246271254173488
48453001775,583463,770,0.0013197066480650872
48453001828,780595,1550,0.001985664781352686
48453002315,820780,5520,0.00672531007090816
48491021508,393832,3460,0.008785471977899206
48453001760,504029,6223,0.012346511807852326
48453001706,862533,6093,0.007064077548337281
48453001864,774969,4236,0.005466025092616608
48453002314,741329,1179,0.001590386994168581
48491020114,395223,3806,0.009630006350844966
48491020408,761945,5071,0.006655336015066704
48209010702,15207,278,0.01828105477740514
48453001602,837742,2599,0.0031023871311215145
48453002211,718207,614,8.549067330170828e-4
48453002436,385466,1086,0.0028173691064841
48021950700,14205,1287,0.09060190073917634
48453002426,539032,315,5.843808901883377e-4
48491020701,755338,4437,0.005874191421588746
48491020405,807905,5691,0.007044145041805658
48453001738,753054,2634,0.003497757132954609
48209010907,68538,393,0.005734045347106714
48021950802,17636,338,0.019165343615332276
48453001503,874372,21478,0.024563915587415882
48491020803,349982,886,0.0025315587658793883
48453002308,768280,10115,0.01316577289529859
48453001843,843621,10279,0.012184381375048748
48453001860,728792,1660,0.002277741797385262
48453001747,634406,1959,0.003087927919975536
48453001402,835687,13366,0.01599402647163352
48491020805,278602,1683,0.006040875514174342
48453001773,309768,4340,0.014010485266392913
48453001914,656991,1170,0.0017808463129631914
48491020507,675537,827,0.001224211257118411
48453001748,628166,1598,0.0025439135515134535
48055960300,79828,2118,0.0265320438943729
48453001770,639333,1387,0.0021694484720794953
48453002107,799360,1576,0.0019715772618094474
48491020107,217140,335,0.0015427834576770747
48491020605,416523,204,4.897688723071715e-4
48453001857,761958,6391,0.008387601416351033
48453001818,858919,9780,0.011386405470131642
48453001821,836831,11537,0.013786535154648907
48453000700,769151,86826,0.11288550622699574
48453001812,881724,8534,0.009678765690851106
48453001605,880131,17057,0.019380069557827187
48491021100,236794,1120,0.00472984957389123
48491020302,478970,1750,0.0036536735077353486
48491021502,634469,2159,0.0034028455290959843
48453001822,815851,6739,0.008260086707009
48491020325,471234,534,0.001133194973198029
48453002411,752720,10904,0.014486130300775854
48209010600,5080,1718,0.33818897637795275
48209010701,7899,864,0.10938093429548044
48453001764,60403,1936,0.03205138817608397
48453001919,760550,12079,0.015881927552429162
48209010400,106531,10139,0.09517417465338728
48209010100,160803,8623,0.053624621431192204
48209010304,172214,3352,0.019464155062886873
48055960400,71237,695,0.00975616603731207
48055960200,78019,1599,0.020495007626347428
48453001858,603629,2236,0.0037042620550039843
48453001862,711175,954,0.0013414419798221254
48209010806,170435,1949,0.011435444597647197
48453002317,660382,357,5.405962003809916e-4
48453002313,777427,2600,0.003344365451675849
48453002312,771941,2207,0.0028590267909075952
48453002413,744879,5438,0.007300514580220412
48453002433,571750,2771,0.004846523830345431
48491020505,721799,2369,0.0032820771433598552
48453002431,642230,11828,0.018417077993865126
48453001845,808330,2636,0.0032610443754407235
48453002210,229484,223,9.71745306862352e-4
48453002003,802194,5046,0.006290248992139058
48453002304,804115,3106,0.0038626315887652887
48453001776,715206,1040,0.0014541265034130027
48453001741,404752,1092,0.0026979483733249
48453001806,855171,6781,0.007929408270392705
48453001819,862058,6604,0.007660737444580295
48453002410,724894,3039,0.004192337086525754
48491020301,183633,2360,0.012851720551317029
48491021402,478931,7439,0.015532508858269772
48453001722,860187,13788,0.016029072748135
48453001740,726694,488,6.715343734776948e-4
48453001751,826527,9149,0.011069208870369631
48453002109,814677,1437,0.0017638892469039877
48491021403,428426,4461,0.010412533319639797
48491020320,667503,5413,0.008109326849467344
48491020411,667078,2636,0.003951561886316143
48491020604,48411,966,0.019954142653529156
48491020807,392374,269,6.855703996697029e-4
48491020312,399100,8856,0.02218992733650714
48453002407,556923,1089,0.0019553870104125704
48453001849,864705,34486,0.039881809403206875
48453001913,666718,981,0.0014713867032238519
48453002105,865282,6145,0.0071017309963688135
48453001712,760494,2992,0.003934284820130073
48491020324,491196,1151,0.002343260124268113
48491020319,484882,398,8.208182609377127e-4
48453001908,587458,6343,0.010797367641601613
48453001761,656556,6714,0.01022608886370698
48453001783,613059,802,0.0013081938280002413
48491020410,778270,3079,0.003956210569596669
48491020703,778552,20492,0.026320656809050647
48491020707,668059,936,0.0014010738572491353
48453001755,773397,1500,0.001939495498430948
48021950400,89959,6845,0.07609021887748864
48491020310,435757,799,0.0018335907397930497
48453001781,750035,732,9.759544554587453e-4
48453001917,695423,6744,0.00969769478432551
48209010500,126596,9066,0.07161363708174034
48453001851,808026,7373,0.00912470638321044
48453001915,794185,10373,0.013061188514011219
48491020406,765426,4452,0.005816368923971749
48453001200,865151,56056,0.06479331353717444
48491021504,555593,4536,0.008164249729568227
48209010901,17915,1325,0.07396036840636339
48453002425,692775,372,5.369708779906896e-4
48491020108,369007,1184,0.003208611218757368
48491020204,60150,856,0.014231088944305902
48453001728,690681,1594,0.002307867162988413
48021950801,25576,141,0.005512980919612136
48491021602,124333,370,0.002975879291901587
48491020809,169129,678,0.004008774367494634
48453001848,833475,4320,0.0051831188697921355
48453001304,807001,9433,0.011688957014923155
48453001912,526810,8324,0.015800763083464626
48491020323,491930,895,0.0018193645437358974
48453001839,800169,7175,0.00896685575172245
48453001737,699796,2107,0.0030108774557156656
48453001603,873670,7713,0.00882827612256344
48453001842,638776,5638,0.008826255213095045
48453002421,581744,3975,0.006832902445061745
48491020510,630445,1258,0.0019954159363624107
48453001780,29159,1004,0.034431907815768714
48453001100,780054,110379,0.14150174218707937
48453001305,820304,28323,0.034527443484366774
48453000304,868929,11725,0.013493622608981862
48453001756,805459,1293,0.0016052958623592262
48491020403,758119,2857,0.0037685376570169063
48491020315,632999,1163,0.0018372856829157707
48453002104,846641,4720,0.005574972154667681
48491020106,188940,658,0.003482587064676617
48491021603,69216,1674,0.02418515950069348
48453001757,755727,690,9.130281172963253e-4
48453001835,783794,247,3.1513382342809464e-4
48453002402,769321,3765,0.0048939259424869465
48453000302,854808,21074,0.02465348943856398
48453002422,710659,2172,0.0030563181497736606
48453001716,698576,4192,0.0060007787270103755
48453002403,776353,4326,0.005572207488088537
48453000307,865769,15872,0.018332834739982606
48453002112,817593,1534,0.0018762391556679178
48209010303,120224,3368,0.028014373170082513
48491020900,16452,587,0.03567955263797715
48453001786,785747,6031,0.0076754986019673
48453000101,895120,9393,0.010493565108588792
48453001861,714618,699,9.781449669613695e-4
48491020313,654372,2571,0.0039289578404943975
48491020201,8751,1142,0.13049937150039995
48453001855,654725,5226,0.00798197716598572
48491020504,826506,8472,0.010250379307591234
