"route","ridership_HBW","ridership_HBO","ridership_NHB","total_ridership"
"1",486,1098,586,2170
"10",2236,4482,2524,9242
"105",83,124,81,288
"150",3,24,13,40
"17",238,546,322,1106
"18",221,466,250,937
"19",396,810,469,1675
"2",176,386,218,780
"20",1278,2934,1508,5720
"201",22,225,121,368
"214",0,46,21,67
"217",2,10,3,15
"228",92,285,119,496
"233",0,12,5,17
"237",6,84,30,120
"243",203,538,226,967
"271",25,64,29,118
"3",1219,2334,1389,4942
"30",320,784,418,1522
"300",792,2212,1238,4242
"310",58,206,92,356
"311",279,880,597,1756
"315",366,1304,766,2436
"318",266,1330,681,2277
"322",106,157,104,367
"323",61,212,118,391
"324",152,587,342,1081
"325",510,1796,961,3267
"333",523,1864,898,3285
"335",111,282,160,553
"337",412,1635,845,2892
"339",20,259,106,385
"345",62,179,96,337
"350",380,982,530,1892
"383",777,2396,1428,4601
"392",254,891,453,1598
"4",888,1490,870,3248
"465",12,22,6,40
"466",28,178,92,298
"5",376,450,346,1172
"50",8,122,71,201
"51",0,30,18,48
"550",1104,1140,618,2862
"6",106,263,122,491
"640",8,5,2,15
"641",3,0,1,4
"642",85,178,92,355
"656",63,124,80,267
"661",211,332,172,715
"663",512,766,431,1709
"670",78,168,81,327
"671",32,74,30,136
"672",166,328,140,634
"7",1646,2943,1666,6255
"801",2542,4340,2299,9181
"803",2213,3170,1988,7371
"982",140,61,38,239
