from_id,percentile,cutoff,accessibility
48453002412,50,25,15329
48055960500,50,25,1151
48453000500,50,25,196350
48453002307,50,25,61610
48453001805,50,25,42919
48453001501,50,25,73537
48453000901,50,25,183118
48453000802,50,25,114778
48453002212,50,25,988
48491020602,50,25,3451
48453000305,50,25,79898
48453001823,50,25,37964
48491020327,50,25,3519
48453001817,50,25,44227
48453002005,50,25,51510
48453001745,50,25,34619
48453001863,50,25,9267
48453001307,50,25,56735
48453002500,50,25,45152
48453002316,50,25,124192
48021950600,50,25,441
48209010908,50,25,1667
48453000205,50,25,93118
48453001804,50,25,67472
48453000804,50,25,175224
48453001754,50,25,69959
48453001782,50,25,3569
48453001714,50,25,5137
48055960102,50,25,390
48021950100,50,25,716
48453002110,50,25,3880
48453001811,50,25,12755
48491020113,50,25,1420
48453000204,50,25,181635
48453001401,50,25,183598
48491020806,50,25,2235
48453002002,50,25,30806
48453002108,50,25,2951
48453001505,50,25,91494
48453001713,50,25,10929
48491020508,50,25,7502
48491020409,50,25,4489
48453980000,50,25,2570
48491020706,50,25,722
48055960600,50,25,368
48021950300,50,25,3685
48453001846,50,25,3376
48491020111,50,25,1527
48453002409,50,25,16961
48453000203,50,25,133139
48453000401,50,25,137234
48453002419,50,25,14068
48453000601,50,25,220716
48453002004,50,25,18452
48491020321,50,25,8091
48453001403,50,25,158888
48453000801,50,25,22039
48453001752,50,25,37745
48491020404,50,25,10639
48453002429,50,25,439
48453000604,50,25,232649
48453001504,50,25,76833
48453002201,50,25,2697
48209010805,50,25,1312
48453001844,50,25,53602
48453002427,50,25,2930
48209010909,50,25,573
48453001829,50,25,22889
48453001853,50,25,14298
48453002318,50,25,5388
48491021203,50,25,2113
48453002434,50,25,425
48453001753,50,25,25327
48453001746,50,25,5999
48453001832,50,25,7439
48453002106,50,25,14630
48453002319,50,25,2734
48453001749,50,25,21200
48491021300,50,25,301
48491021201,50,25,1672
48453001850,50,25,24640
48453001854,50,25,465
48453001859,50,25,158
48209010809,50,25,2324
48453001750,50,25,16842
48491021506,50,25,261
48453001778,50,25,2621
48055960101,50,25,352
48453001000,50,25,170905
48453001833,50,25,16049
48453002208,50,25,4391
48453000206,50,25,82612
48021950501,50,25,534
48491020318,50,25,8441
48453001834,50,25,14008
48453001768,50,25,3771
48491020603,50,25,1808
48491020804,50,25,1591
48453001841,50,25,7035
48453002435,50,25,1204
48453002113,50,25,7290
48453001774,50,25,6033
48453001308,50,25,54165
48453001772,50,25,1410
48491020328,50,25,2770
48491020109,50,25,1037
48491020202,50,25,1213
48491020326,50,25,2644
48453001775,50,25,1311
48453001828,50,25,21337
48453002315,50,25,107528
48491021508,50,25,3458
48453001760,50,25,6224
48453001706,50,25,45067
48453001864,50,25,4402
48453002314,50,25,2197
48491020114,50,25,5344
48491020408,50,25,17866
48209010702,50,25,280
48453001602,50,25,115420
48453002211,50,25,614
48453002436,50,25,1087
48021950700,50,25,1288
48453002426,50,25,313
48491020701,50,25,7119
48491020405,50,25,16196
48453001738,50,25,12642
48209010907,50,25,399
48021950802,50,25,338
48453001503,50,25,81440
48491020803,50,25,888
48453002308,50,25,41994
