from_id,percentile,cutoff,accessibility
48453002412,50,15,92
48055960500,50,15,1140
48453000500,50,15,5719
48453002307,50,15,6563
48453001805,50,15,2373
48453001501,50,15,2355
48453000901,50,15,2803
48453000802,50,15,648
48453002212,50,15,988
48491020602,50,15,3276
48453000305,50,15,3471
48453001823,50,15,2352
48491020327,50,15,1845
48453001817,50,15,7596
48453002005,50,15,1860
48453001745,50,15,13305
48453001863,50,15,3307
48453001307,50,15,2835
48453002500,50,15,4020
48453002316,50,15,2242
48021950600,50,15,441
48209010908,50,15,1662
48453000205,50,15,5084
48453001804,50,15,5666
48453000804,50,15,2032
48453001754,50,15,10344
48453001782,50,15,350
48453001714,50,15,5051
48055960102,50,15,388
48021950100,50,15,716
48453002110,50,15,835
48453001811,50,15,1259
48491020113,50,15,1258
48453000204,50,15,20215
48453001401,50,15,8842
48491020806,50,15,2231
48453002002,50,15,1012
48453002108,50,15,1341
48453001505,50,15,4040
48453001713,50,15,1194
48491020508,50,15,1758
48491020409,50,15,3101
48453980000,50,15,2570
48491020706,50,15,471
48055960600,50,15,368
48021950300,50,15,3679
48453001846,50,15,1157
48491020111,50,15,954
48453002409,50,15,1027
48453000203,50,15,20983
48453000401,50,15,27775
48453002419,50,15,632
48453000601,50,15,15798
48453002004,50,15,3226
48491020321,50,15,373
48453001403,50,15,4242
48453000801,50,15,1073
48453001752,50,15,7826
48491020404,50,15,719
48453002429,50,15,183
48453000604,50,15,10052
48453001504,50,15,3044
48453002201,50,15,2107
48209010805,50,15,1304
48453001844,50,15,1027
48453002427,50,15,1095
48209010909,50,15,565
48453001829,50,15,1384
48453001853,50,15,293
48453002318,50,15,1296
48491021203,50,15,2107
48453002434,50,15,424
48453001753,50,15,7003
48453001746,50,15,999
48453001832,50,15,519
48453002106,50,15,545
48453002319,50,15,2733
48453001749,50,15,4215
48491021300,50,15,301
48491021201,50,15,213
48453001850,50,15,4693
48453001854,50,15,463
48453001859,50,15,158
48209010809,50,15,2301
48453001750,50,15,4589
48491021506,50,15,228
48453001778,50,15,2604
48055960101,50,15,352
48453001000,50,15,1460
48453001833,50,15,1525
48453002208,50,15,4075
48453000206,50,15,3535
48021950501,50,15,534
48491020318,50,15,3814
48453001834,50,15,13761
48453001768,50,15,3762
48491020603,50,15,1645
48491020804,50,15,1588
48453001841,50,15,6133
48453002435,50,15,1200
48453002113,50,15,434
48453001774,50,15,525
48453001308,50,15,3876
48453001772,50,15,1126
48491020328,50,15,526
48491020109,50,15,1032
48491020202,50,15,1211
48491020326,50,15,937
48453001775,50,15,770
48453001828,50,15,810
48453002315,50,15,1189
48491021508,50,15,3456
48453001760,50,15,6223
48453001706,50,15,4173
48453001864,50,15,4230
48453002314,50,15,1078
48491020114,50,15,3750
48491020408,50,15,4254
48209010702,50,15,277
48453001602,50,15,2526
48453002211,50,15,614
48453002436,50,15,1086
48021950700,50,15,1287
48453002426,50,15,313
48491020701,50,15,3891
48491020405,50,15,4097
48453001738,50,15,2454
48209010907,50,15,385
48021950802,50,15,338
48453001503,50,15,17618
48491020803,50,15,886
48453002308,50,15,5976
48453001843,50,15,2321
48453001860,50,15,1008
48453001747,50,15,1467
48453001402,50,15,6166
48491020805,50,15,1683
48453001773,50,15,4340
48453001914,50,15,1112
48491020507,50,15,511
48453001748,50,15,1179
48055960300,50,15,2118
48453001770,50,15,1387
48453002107,50,15,305
