HOUSEID,TRAVDAY,SAMPSTRAT,HOMEOWN,HHSIZE,HHVEHCNT,HHFAMINC,PC,SPHONE,TAB,WALK,BIKE,CAR,TAXI,BUS,TRAIN,PARA,PRICE,PLACE,WALK2SAVE,BIKE2SAVE,PTRANS,HHRELATD,DRVRCNT,CNTTDHH,HHSTATE,HHSTFIPS,NUMADLT,YOUNGCHILD,WRKCOUNT,TDAYDATE,HHRESP,LIF_CYC,MSACAT,MSASIZE,RAIL,URBAN,URBANSIZE,URBRUR,SCRESP,CENSUS_D,CENSUS_R,CDIVMSAR,HH_RACE,HH_HISP,HH_CBSA,RESP_CNT,WEBUSE17,SMPLSRCE,WTHHFIN,HBHUR,HTHTNRNT,HTPPOPDN,HTRESDN,HTEEMPDN,HBHTNRNT,HBPPOPDN,HBRESDN
30000309,01,02,01,2,2,07,01,01,05,05,03,01,04,05,05,05,04,04,04,04,04,01,2,4,TX,48,2,0,1,201610,01,10,02,04,02,01,04,01,01,07,03,72,01,02,12420,2,01,02,351.183356214754,T,20,1500,750,750,05,3000,750
30000341,05,02,01,3,2,06,01,01,01,05,05,01,05,03,05,05,02,02,05,05,03,01,3,14,TX,48,3,0,3,201604,01,02,02,04,02,01,04,01,01,07,03,72,01,02,12420,3,01,02,316.179006139523,U,20,7000,3000,3000,20,7000,3000
30000582,02,02,01,2,2,08,01,04,05,05,05,01,05,05,05,05,04,04,05,05,05,01,2,6,TX,48,2,0,1,201608,01,10,02,04,02,01,04,01,01,07,03,72,01,02,12420,2,01,02,102.891841416329,S,40,7000,3000,3000,20,7000,3000
30000586,06,02,01,1,1,05,02,01,01,03,02,02,05,04,05,05,04,03,04,04,04,02,1,4,TX,48,1,0,0,201609,01,09,02,04,02,01,04,01,01,07,03,72,01,02,12420,1,01,02,122.487565143975,C,40,7000,3000,3000,40,7000,3000
30002590,05,02,01,2,2,08,01,01,01,04,04,01,03,05,05,05,03,04,05,05,05,01,2,12,TX,48,2,0,1,201609,01,02,02,04,02,01,04,01,01,07,03,72,01,02,12420,2,01,02,76.853675836909,U,60,7000,3000,3000,70,7000,7000
30003003,05,02,01,3,2,06,01,01,01,02,05,01,04,05,05,05,03,04,03,03,03,01,2,4,TX,48,2,1,1,201610,01,04,02,04,02,01,04,01,01,07,03,72,01,02,12420,3,01,02,343.355653795516,C,20,300,50,150,05,7000,1500
30003531,06,02,01,2,1,02,01,01,05,05,05,02,03,05,05,05,03,03,05,05,05,02,1,5,TX,48,2,0,0,201608,01,02,02,04,02,04,06,02,01,07,03,72,04,01,12420,2,01,02,299.08690464481,R,05,300,50,25,05,300,300
30004315,04,02,01,1,1,03,01,05,01,05,05,01,04,05,05,05,04,01,05,05,05,02,1,5,TX,48,1,0,1,201606,01,09,02,04,02,01,04,01,01,07,03,72,01,02,12420,1,01,02,330.877649042946,S,30,7000,3000,3000,40,7000,3000
30005759,07,02,01,2,5,11,01,01,01,05,05,01,03,05,05,02,05,03,05,05,05,01,2,18,TX,48,2,0,2,201609,01,02,02,04,02,01,04,01,01,07,03,72,06,02,12420,2,01,02,347.35218300559,S,40,3000,1500,1500,05,3000,750
30006587,06,02,01,4,3,11,01,01,02,05,05,01,05,05,05,05,05,04,05,05,05,01,4,26,TX,48,2,0,2,201609,01,06,02,04,02,01,04,01,01,07,03,72,01,02,12420,4,01,02,140.16740304915,S,0,3000,750,1500,0,1500,750
30006678,02,02,01,1,1,05,01,01,01,05,05,01,05,05,05,05,02,04,04,04,04,02,1,3,TX,48,1,0,0,201607,01,09,02,04,02,01,04,01,01,07,03,72,01,02,12420,1,01,02,133.570577812575,S,20,3000,1500,3000,20,3000,1500
30007913,04,02,02,2,2,03,01,01,01,01,05,01,05,05,05,05,02,02,02,03,03,02,2,5,TX,48,2,0,2,201609,01,02,02,04,02,01,04,01,01,07,03,72,01,02,12420,2,01,02,272.535376974358,U,50,7000,3000,3000,70,7000,7000
30007923,05,02,01,2,2,07,01,01,05,01,05,01,04,04,04,05,02,01,02,02,01,01,2,8,TX,48,2,0,0,201609,01,10,02,04,02,01,04,01,01,07,03,72,01,02,12420,2,01,02,98.9292633140422,T,0,1500,750,350,05,1500,750
30007925,03,02,01,2,2,03,-9,01,-9,-9,-9,01,-9,-9,-9,-9,01,-9,-9,-9,-9,01,1,4,TX,48,2,0,0,201607,01,10,02,04,02,01,04,01,01,07,03,72,01,02,12420,2,01,02,156.73165461236,U,70,7000,3000,5000,40,7000,1500
30008260,05,02,01,5,2,11,01,01,01,04,05,01,04,05,05,05,04,03,04,05,04,01,2,6,TX,48,2,1,2,201607,01,04,02,04,02,01,04,01,01,07,03,72,01,02,12420,5,01,02,347.401509532665,T,05,3000,1500,1500,05,3000,1500
30008784,01,02,01,1,1,03,02,-9,-9,-9,01,-1,-9,-9,-9,-9,-9,-9,-9,01,-9,02,1,6,TX,48,1,0,0,201607,01,09,02,04,02,02,06,01,01,07,03,72,06,01,12420,1,02,02,705.14330417184,R,30,300,300,150,30,750,300
30008870,04,02,01,3,4,08,01,01,01,01,05,01,04,05,05,05,03,03,03,05,05,01,3,10,TX,48,3,0,2,201609,01,02,02,04,02,01,04,01,01,07,03,72,01,02,12420,3,01,02,290.004293903831,T,05,1500,300,750,0,1500,750
30009626,02,02,02,1,2,06,01,01,04,05,05,01,04,05,05,05,02,01,04,04,04,02,1,5,TX,48,1,0,1,201607,01,01,02,04,02,01,04,01,01,07,03,72,01,02,12420,1,01,02,271.330207794561,C,50,7000,3000,3000,60,7000,3000
30010229,02,02,01,4,2,05,01,01,05,-9,-9,01,-9,-9,-9,-9,03,04,05,05,05,01,2,19,TX,48,2,1,2,201608,01,04,02,04,02,01,04,01,01,07,03,72,01,02,12420,4,01,02,328.704128546876,T,20,300,300,150,05,3000,750
30010584,04,02,02,1,1,07,03,05,01,05,05,02,05,03,05,05,05,03,05,05,05,02,1,0,TX,48,1,0,0,201605,01,09,02,04,02,01,04,01,01,07,03,72,06,02,12420,1,01,02,483.770416147459,T,40,750,300,350,30,300,300
30011138,06,02,02,1,1,07,01,01,01,04,04,01,05,05,05,05,03,04,03,03,04,02,1,2,TX,48,1,0,1,201607,01,01,02,04,02,01,04,01,01,07,03,72,01,02,12420,1,01,02,404.305078788223,S,30,3000,750,1500,05,3000,750
30011417,04,02,01,1,3,11,01,01,04,04,04,01,04,05,05,05,05,05,05,05,05,02,1,9,TX,48,1,0,1,201608,01,01,02,04,02,01,04,01,01,07,03,72,01,02,12420,1,01,02,68.3338124815004,U,50,7000,3000,3000,40,7000,3000
30011475,06,02,02,1,2,02,01,01,05,03,05,-1,01,-9,-9,04,01,01,-9,05,05,02,1,2,TX,48,1,0,0,201609,01,09,02,04,02,01,04,01,01,07,03,72,01,02,12420,1,01,02,110.928452602924,T,0,300,300,75,05,300,300
30011759,06,02,01,1,1,06,01,01,05,02,01,02,04,04,04,05,02,03,02,01,02,02,1,4,TX,48,1,0,1,201609,01,01,02,04,02,01,04,01,01,07,03,72,01,02,12420,1,01,02,142.204039879352,U,50,3000,1500,1500,50,3000,1500
30012308,07,02,02,1,1,08,01,01,01,03,05,01,03,05,05,05,05,05,05,05,05,02,1,4,TX,48,1,0,1,201604,01,01,02,04,02,01,04,01,01,07,03,72,01,01,12420,1,01,02,1957.720686739,U,70,7000,7000,5000,60,7000,3000
30012815,05,02,01,2,2,07,01,01,02,01,04,01,04,05,04,05,02,04,05,05,02,01,2,7,TX,48,2,0,2,201608,01,02,02,04,02,01,04,01,01,07,03,72,01,02,12420,2,01,02,161.564824053482,S,40,3000,1500,1500,30,3000,1500
30013475,04,02,01,1,1,06,01,01,01,03,05,01,04,04,05,05,01,04,04,04,04,02,1,3,TX,48,1,0,1,201607,01,01,02,04,02,01,04,01,01,07,03,72,01,02,12420,1,01,02,192.826240013186,S,20,3000,1500,3000,30,3000,1500
30013951,02,02,01,10,2,08,01,01,02,02,04,01,05,05,05,05,01,02,01,03,04,01,2,12,TX,48,2,3,1,201611,01,04,02,04,02,01,04,01,01,07,03,72,01,02,12420,10,01,01,325.182709396449,S,20,3000,1500,1500,05,7000,3000
30014092,03,02,01,2,2,05,01,05,01,02,04,02,05,04,05,05,05,04,04,04,01,01,2,13,TX,48,2,0,1,201608,01,10,02,04,02,01,04,01,01,07,03,72,01,02,12420,2,01,02,99.9922724525787,U,60,7000,3000,3000,50,7000,3000
30014717,04,02,01,2,2,08,01,01,05,04,05,01,05,04,05,05,04,02,05,05,05,01,2,19,TX,48,2,0,2,201609,01,02,02,04,02,01,04,01,01,07,03,72,01,02,12420,2,01,02,166.599165895666,R,05,300,50,25,05,300,300
30014873,02,02,02,1,0,01,05,05,05,05,05,01,05,05,05,05,01,01,05,05,05,02,0,4,TX,48,1,0,0,201606,01,09,02,04,02,01,04,01,01,07,03,72,01,02,12420,1,05,02,827.271502155048,C,60,7000,3000,3000,05,3000,1500
