HOUSEID,PERSONID,R_AGE,EDUC,R_HISP,R_RELAT,R_SEX,R_RACE,PRMACT,PAYPROF,GT1JBLWK,WRK_HOME,WKFTPT,WRKTRANS,LSTTRDAY17,OCCAT,SCHTYP,NWALKTRP,WALK4EX,NBIKETRP,BIKE4EX,BIKESHARE,PTUSED,MCUSED,CARSHARE,RIDESHARE,CARRODE,TIMETOWK,NOCONG,PUBTIME,WRKTIME,WKRMHM,FLEXTIME,WKFMHMXX,SCHTRN1,SCHTRN2,DELIVER,MEDCOND,MEDCOND6,HEALTH,PHYACT,VPACT,LPACT,BORNINUS,YRTOUS,YEARMILE,PROXY,WHOPROXY,USEPUBTR,SAMEPLC,W_NONE,W_CANE,W_WLKR,W_WHCANE,W_DOG,W_CRUTCH,W_SCOOTR,W_CHAIR,W_MTRCHR,WORKER,DIARY,OUTCNTRY,FRSTHM17,CNTTDTR,GCDWORK,WKSTFIPS,DRIVER,OUTOFTWN,DISTTOWK17,DISTTOSC17,R_AGE_IMP,R_SEX_IMP,ALT_16,ALT_23,ALT_45,WALK_DEF,WALK_GKQ,BIKE_DFR,BIKE_GKP,CONDTRAV,CONDRIDE,CONDNIGH,CONDRIVE,CONDPUB,CONDSPEC,CONDTAX,TRAVDAY,HOMEOWN,HHSIZE,HHVEHCNT,HHFAMINC,DRVRCNT,HHSTATE,HHSTFIPS,NUMADLT,WRKCOUNT,TDAYDATE,HHRESP,LIF_CYC,MSACAT,MSASIZE,RAIL,URBAN,URBANSIZE,URBRUR,CENSUS_D,CENSUS_R,CDIVMSAR,HH_RACE,HH_HISP,HH_CBSA,SMPLSRCE,WTPERFIN,HBHUR,HTHTNRNT,HTPPOPDN,HTRESDN,HTEEMPDN,HBHTNRNT,HBPPOPDN,HBRESDN
30000309,01,68,05,02,01,01,01,06,01,02,01,02,-9,-1,04,-1,2,2,1,1,0,0,-1,0,0,-1,-1,-1,-1,08:00 AM,-1,01,-1,-1,-1,0,02,-1,01,02,-1,3,02,1998,10000,01,01,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,01,01,02,01,2,-9,-9,01,02,-9,-9,68,01,02,02,04,-1,-1,01,-1,-1,-1,-1,-1,-1,-1,-1,01,01,2,2,07,2,TX,48,2,1,201610,01,10,02,04,02,01,04,01,07,03,72,01,02,12420,02,300.659549508973,T,20,1500,750,750,05,3000,750
30000309,02,37,03,02,02,02,03,04,02,-1,-1,-1,-1,-1,-1,-1,2,2,1,1,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,02,-1,01,02,-1,3,02,2015,2000,01,02,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,02,01,02,01,2,-9,-9,01,02,-9,-9,37,02,02,02,04,01,-1,01,-1,-1,-1,-1,-1,-1,-1,-1,01,01,2,2,07,2,TX,48,2,1,201610,01,10,02,04,02,01,04,01,07,03,72,01,02,12420,02,352.237469804487,T,20,1500,750,750,05,3000,750
30000341,01,61,05,02,01,02,01,01,-1,02,02,02,03,-1,02,-1,0,-1,0,-1,-1,0,-1,0,0,1,10,6,-1,10:00 AM,02,02,-1,-1,-1,6,01,02,03,02,-1,3,01,-1,14000,01,01,02,-1,-1,01,02,-1,-1,-1,-1,-1,-1,01,01,02,01,5,2.38999999999999,48,01,02,3.32999999999993,-9,61,02,03,03,04,-1,-1,-1,-1,01,02,01,02,02,02,02,05,01,3,2,06,3,TX,48,3,3,201604,01,02,02,04,02,01,04,01,07,03,72,01,02,12420,02,277.809600392642,U,20,7000,3000,3000,20,7000,3000
30000341,02,28,05,02,03,01,01,01,-1,02,02,01,11,-1,04,-1,13,3,0,-1,-1,21,-1,0,0,-9,35,-1,0,08:15 AM,02,01,-1,-1,-1,10,02,-1,02,02,-1,8,01,-1,400,01,02,01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,01,01,02,01,5,1.78999999999996,48,01,02,2.57999999999993,-9,28,01,01,03,03,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,05,01,3,2,06,3,TX,48,3,3,201604,01,02,02,04,02,01,04,01,07,03,72,01,02,12420,02,407.415399981904,U,20,7000,3000,3000,20,7000,3000
30000341,03,24,04,02,03,01,01,01,-1,02,02,01,03,-1,02,-1,8,0,0,-1,-1,2,-1,0,0,1,10,5,-1,07:50 AM,02,02,-1,-1,-1,3,02,-1,02,03,5,-1,01,-1,2600,01,03,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,01,01,02,01,4,1.83999999999997,48,01,02,2.52999999999997,-9,24,01,01,03,03,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,05,01,3,2,06,3,TX,48,3,3,201604,01,02,02,04,02,01,04,01,07,03,72,01,02,12420,02,585.819699344838,U,20,7000,3000,3000,20,7000,3000
30000582,01,55,04,02,01,02,01,01,-1,02,02,01,04,-1,04,-1,0,-1,0,-1,-1,0,-1,0,0,1,40,30,-1,10:00 AM,02,01,-1,-1,-1,0,02,-1,02,01,-1,-1,01,-1,17000,01,01,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,01,01,02,01,3,16.9799999999996,48,01,02,21.3199999999997,-9,55,02,04,01,04,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,02,01,2,2,08,2,TX,48,2,1,201608,01,10,02,04,02,01,04,01,07,03,72,01,02,12420,02,77.5842994064649,S,40,7000,3000,3000,20,7000,3000
30000582,02,61,04,02,02,01,01,06,02,-1,-1,-1,-1,-1,-1,-1,6,0,0,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,02,-1,05,02,-1,5,01,-1,6000,01,02,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,02,01,02,01,3,-9,-9,01,02,-9,-9,61,01,04,01,04,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,02,01,2,2,08,2,TX,48,2,1,201608,01,10,02,04,02,01,04,01,07,03,72,01,02,12420,02,85.6948736785749,S,40,7000,3000,3000,20,7000,3000
30000586,01,58,03,02,01,02,01,06,02,-1,-1,-1,-1,-1,-1,-1,14,7,1,1,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,02,-1,01,03,6,-1,01,-1,-88,01,01,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,02,01,02,01,4,-9,-9,01,02,-9,-9,58,02,01,04,01,03,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,06,01,1,1,05,1,TX,48,1,0,201609,01,09,02,04,02,01,04,01,07,03,72,01,02,12420,02,92.900897152333,C,40,7000,3000,3000,40,7000,3000
30002590,01,56,05,02,01,01,01,01,-1,01,02,01,01,-1,04,-1,7,4,0,-1,-1,0,-1,0,0,-9,30,-1,-1,08:45 AM,02,01,-1,-1,-1,2,02,-1,02,03,3,-1,01,-1,10000,01,01,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,01,01,02,01,8,4.06999999999994,48,01,02,7.91999999999985,-9,56,01,03,03,02,-1,04,-1,-1,-1,-1,-1,-1,-1,-1,-1,05,01,2,2,08,2,TX,48,2,1,201609,01,02,02,04,02,01,04,01,07,03,72,01,02,12420,02,65.5436094440184,U,60,7000,3000,3000,70,7000,7000
30002590,02,50,03,02,02,02,01,04,02,-1,-1,-1,-1,-1,-1,-1,8,0,0,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,02,-1,01,02,-1,4,01,-1,5000,01,02,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,02,01,02,01,4,-9,-9,01,02,-9,-9,50,02,03,03,02,-1,04,-1,-1,-1,-1,-1,-1,-1,-1,-1,05,01,2,2,08,2,TX,48,2,1,201609,01,02,02,04,02,01,04,01,07,03,72,01,02,12420,02,64.5119252244219,U,60,7000,3000,3000,70,7000,7000
30003003,01,33,03,02,01,01,01,01,-1,02,02,01,03,-1,04,-1,5,0,0,-1,-1,0,-1,0,1,1,30,25,-1,08:00 AM,02,02,-1,-1,-1,1,02,-1,02,02,-1,2,01,-1,13000,01,01,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,01,01,02,01,4,16.2599999999993,48,01,02,28.0099999999993,-9,33,01,04,01,04,-1,01,-1,-1,-1,-1,-1,-1,-1,-1,-1,05,01,3,2,06,2,TX,48,2,1,201610,01,04,02,04,02,01,04,01,07,03,72,01,02,12420,02,388.793596889176,C,20,300,50,150,05,7000,1500
