HOUSEID,VEHID,VEHYEAR,VEHAGE,MAKE,MODEL,FUELTYPE,VEHTYPE,WHOMAIN,OD_READ,HFUEL,VEHOWNED,VEHOWNMO,ANNMILES,HYBRID,PERSONID,TRAVDAY,HOMEOWN,HHSIZE,HHVEHCNT,HHFAMINC,DRVRCNT,HHSTATE,HHSTFIPS,NUMADLT,WRKCOUNT,TDAYDATE,LIF_CYC,MSACAT,MSASIZE,RAIL,URBAN,URBANSIZE,URBRUR,CENSUS_D,CENSUS_R,CDIVMSAR,HH_RACE,HH_HISP,HH_CBSA,SMPLSRCE,WTHHFIN,BESTMILE,BEST_FLG,BEST_EDT,BEST_OUT,HBHUR,HTHTNRNT,HTPPOPDN,HTRESDN,HTEEMPDN,HBHTNRNT,HBPPOPDN,HBRESDN,GSYRGAL,GSTOTCST,FEGEMPG,FEGEMPGA,GSCOST,FEGEMPGF
30000309,01,2014,3,59,59401,01,03,01,37025,-1,02,11,10909,02,01,01,01,2,2,07,2,TX,48,2,1,201610,10,02,04,02,01,04,01,07,03,72,01,02,12420,02,351.183356214754,10999.5952326404,01,-1,-1,T,20,1500,750,750,05,3000,750,523.790249173352,1113.66536811741,21,-9,2.12616666666667,01
30000309,02,2012,5,55,55036,01,01,02,72214,-1,02,08,3000,02,02,01,01,2,2,07,2,TX,48,2,1,201610,10,02,04,02,01,04,01,07,03,72,01,02,12420,02,351.183356214754,3659.91203421057,01,-1,01,T,20,1500,750,750,05,3000,750,118.061678522922,251.018805486152,31,-9,2.12616666666667,01
30000341,01,2014,3,37,37402,01,03,01,33349,-1,01,-1,17000,02,01,05,01,3,2,06,3,TX,48,3,3,201604,02,02,04,02,01,04,01,07,03,72,01,02,12420,02,316.179006139523,10712.0230772502,01,-1,-1,U,20,7000,3000,3000,20,7000,3000,428.480923090006,911.021855976536,25,-9,2.12616666666667,01
30000341,02,1995,22,12,12016,01,01,03,86469,-1,01,-1,3600,02,03,05,01,3,2,06,3,TX,48,3,3,201604,02,02,04,02,01,04,01,07,03,72,01,02,12420,02,316.179006139523,8129.49961758008,01,-1,-1,U,20,7000,3000,3000,20,7000,3000,478.205859857652,1016.74535903401,17,-9,2.12616666666667,01
30000582,01,2004,13,35,35049,01,03,02,57030,-1,01,-1,6100,02,02,02,01,2,2,08,2,TX,48,2,1,201608,10,02,04,02,01,04,01,07,03,72,01,02,12420,02,102.891841416329,4746.81835860891,01,-1,-1,S,40,7000,3000,3000,20,7000,3000,237.340917930446,504.626348339782,20,-9,2.12616666666667,01
30000582,02,2002,15,35,35401,01,03,01,148800,-1,01,-1,16800,02,01,02,01,2,2,08,2,TX,48,2,1,201608,10,02,04,02,01,04,01,07,03,72,01,02,12420,02,102.891841416329,12689.3722421866,01,-1,-1,S,40,7000,3000,3000,20,7000,3000,793.085765136664,1686.23251764141,16,-9,2.12616666666667,01
30000586,01,2013,4,48,48045,01,01,01,26112,-1,01,-1,-9,02,01,06,01,1,1,05,1,TX,48,1,0,201609,09,02,04,02,01,04,01,07,03,72,01,02,12420,02,122.487565143975,4119.0822951536,01,-1,-1,C,40,7000,3000,3000,40,7000,3000,179.090534571896,380.776324922279,23,-9,2.12616666666667,01
30002590,01,2014,3,49,49402,01,03,01,20784,-1,01,-1,9900,02,01,05,01,2,2,08,2,TX,48,2,1,201609,02,02,04,02,01,04,01,07,03,72,01,02,12420,02,76.853675836909,18554.1398996644,01,-1,-1,U,60,7000,3000,3000,70,7000,7000,742.165595986578,1577.96775133346,25,-9,2.12616666666667,01
30002590,02,1996,21,49,49402,01,03,02,123439,-1,01,-1,5050,02,02,05,01,2,2,08,2,TX,48,2,1,201609,02,02,04,02,01,04,01,07,03,72,01,02,12420,02,76.853675836909,1672.53739875334,01,-1,-1,U,60,7000,3000,3000,70,7000,7000,76.0244272160611,161.640602999215,22,-9,2.12616666666667,01
30003003,01,2014,3,02,2404,01,03,02,34000,-1,01,-1,10000,02,02,05,01,3,2,06,2,TX,48,2,1,201610,04,02,04,02,01,04,01,07,03,72,01,02,12420,02,343.355653795516,5279.90605321428,01,-1,-1,C,20,300,50,150,05,7000,1500,263.995302660714,561.298012673788,20,-9,2.12616666666667,01
30003003,02,2011,6,49,49040,01,01,01,52200,-1,01,-1,10000,02,01,05,01,3,2,06,2,TX,48,2,1,201610,04,02,04,02,01,04,01,07,03,72,01,02,12420,02,343.355653795516,9844.43021600783,01,-1,-1,C,20,300,50,150,05,7000,1500,393.777208640313,837.235975104079,25,-9,2.12616666666667,01
30003531,01,1994,23,12,12471,01,04,02,160000,-1,01,-1,20000,02,02,06,01,2,1,02,1,TX,48,2,0,201608,02,02,04,02,04,06,02,07,03,72,04,01,12420,02,299.08690464481,22344.93064212,01,-1,03,R,05,300,50,25,05,300,300,1241.38503567333,2639.39148334745,18,-9,2.12616666666667,01
30004315,01,2002,15,51,51047,01,01,01,122931,-1,01,-1,8000,02,01,04,01,1,1,03,1,TX,48,1,1,201606,09,02,04,02,01,04,01,07,03,72,01,02,12420,02,330.877649042946,1847.74606105391,01,-1,-1,S,30,7000,3000,3000,40,7000,3000,87.9879076692338,187.076956356069,21,-9,2.12616666666667,01
30005759,01,2013,4,42,42048,01,01,01,50000,-1,01,-1,-9,02,01,07,01,2,5,11,2,TX,48,2,2,201609,02,02,04,02,01,04,01,07,03,72,06,02,12420,02,347.35218300559,16684.8260088489,01,-1,-1,S,40,3000,1500,1500,05,3000,750,725.42721777604,1542.37916952816,23,-9,2.12616666666667,02
30005759,02,2013,4,77,77706,01,07,02,-88,-1,01,-1,-9,02,02,07,01,2,5,11,2,TX,48,2,2,201609,02,02,04,02,01,04,01,07,03,72,06,02,12420,02,347.35218300559,-9,08,-1,-1,S,40,3000,1500,1500,05,3000,750,-9,-9,50,-9,-9,03
30005759,03,2012,5,30,30042,01,01,02,-88,-1,01,-1,-9,02,02,07,01,2,5,11,2,TX,48,2,2,201609,02,02,04,02,01,04,01,07,03,72,06,02,12420,02,347.35218300559,18581.5154559907,02,-1,-1,S,40,3000,1500,1500,05,3000,750,743.260618239627,1580.29595114715,25,-9,2.12616666666667,01
30005759,04,2011,6,12,12481,02,04,02,-88,-1,01,-1,-9,02,02,07,01,2,5,11,2,TX,48,2,2,201609,02,02,04,02,01,04,01,07,03,72,06,02,12420,02,347.35218300559,24655.5512201918,02,-1,-1,S,40,3000,1500,1500,05,3000,750,2054.6292683493198,4710.5800359022,12,-9,2.29266666666667,03
30005759,05,1977,40,84,XXXXX,01,03,01,-88,-1,01,-1,-9,02,01,07,01,2,5,11,2,TX,48,2,2,201609,02,02,04,02,01,04,01,07,03,72,06,02,12420,02,347.35218300559,2703.3814318551,02,-1,-1,S,40,3000,1500,1500,05,3000,750,128.732449135957,273.706642271234,21,-9,2.12616666666667,02
30006587,01,2017,1,32,32043,01,01,02,3012,-1,02,01,36144,02,02,06,01,4,3,11,4,TX,48,2,2,201609,06,02,04,02,01,04,01,07,03,72,01,02,12420,02,140.16740304915,35561.2192023539,01,-1,-1,S,0,3000,750,1500,0,1500,750,1270.04354294121,2700.32424621684,28,-9,2.12616666666667,01
30006587,02,2013,4,48,48045,01,03,01,38120,-1,01,-1,10000,02,01,06,01,4,3,11,4,TX,48,2,2,201609,06,02,04,02,01,04,01,07,03,72,01,02,12420,02,140.16740304915,12169.8548531655,01,-1,-1,S,0,3000,750,1500,0,1500,750,529.124124050672,1125.00607508574,23,-9,2.12616666666667,01
30006587,03,2012,5,49,49040,03,01,03,101137,04,02,01,2400,01,03,06,01,4,3,11,4,TX,48,2,2,201609,06,02,04,02,01,04,01,07,03,72,01,02,12420,02,140.16740304915,3089.02106279332,01,-1,01,S,0,3000,750,1500,0,1500,750,79.2056682767519,168.404451701087,39,-9,2.12616666666667,01
30006678,01,2014,3,49,49046,03,01,01,21320,04,01,-1,12000,01,01,02,01,1,1,05,1,TX,48,1,0,201607,09,02,04,02,01,04,01,07,03,72,01,02,12420,02,133.570577812575,4975.94041081092,01,-1,-1,S,20,3000,1500,3000,20,3000,1500,108.172617626324,229.99301384317,46,-9,2.12616666666667,01
