year,state,w_tract,h_tract,S000,SA01,SA02,SA03,SE01,SE02,SE03,SI01,SI02,SI03
2019,TX,48453000700,48021950100,55,8,29,18,2,15,38,0,0,55
2019,TX,48453000700,48021950200,76,6,51,19,5,21,50,0,0,76
2019,TX,48453000700,48021950300,132,5,90,37,2,26,104,0,0,132
2019,TX,48453000700,48021950400,73,6,47,20,2,6,65,0,0,73
2019,TX,48453000700,48021950501,35,6,16,13,2,5,28,0,0,35
2019,TX,48453000700,48021950502,48,3,24,21,1,5,42,0,0,48
2019,TX,48453000700,48021950600,30,3,11,16,2,8,20,0,0,30
2019,TX,48453000700,48021950700,16,1,7,8,0,4,12,0,0,16
2019,TX,48453000700,48021950801,18,2,9,7,0,2,16,0,0,18
2019,TX,48453000700,48021950802,52,5,32,15,1,12,39,2,0,50
2019,TX,48453000700,48055960101,32,5,16,11,1,11,20,0,0,32
2019,TX,48453000700,48055960102,22,3,11,8,1,7,14,0,0,22
2019,TX,48453000700,48055960200,35,0,24,11,1,6,28,0,0,35
2019,TX,48453000700,48055960300,70,3,51,16,3,18,49,1,0,69
2019,TX,48453000700,48055960400,38,11,21,6,3,18,17,0,0,38
2019,TX,48453000700,48055960500,22,4,8,10,0,8,14,0,0,22
2019,TX,48453000700,48055960600,7,0,5,2,0,3,4,0,0,7
2019,TX,48453000700,48055960700,34,2,30,2,3,7,24,0,0,34
2019,TX,48453000700,48209010100,7,2,2,3,1,1,5,0,0,7
2019,TX,48453000700,48209010200,4,0,1,3,0,1,3,0,0,4
2019,TX,48453000700,48209010302,21,7,12,2,4,7,10,0,0,21
2019,TX,48453000700,48209010303,24,10,9,5,2,12,10,0,1,23
2019,TX,48453000700,48209010304,22,10,10,2,3,8,11,0,0,22
2019,TX,48453000700,48209010400,35,6,27,2,0,13,22,0,0,35
2019,TX,48453000700,48209010500,11,0,11,0,0,8,3,0,0,11
2019,TX,48453000700,48209010600,42,5,23,14,2,9,31,0,0,42
2019,TX,48453000700,48209010701,15,4,7,4,1,4,10,0,0,15
2019,TX,48453000700,48209010702,10,2,7,1,0,5,5,0,0,10
2019,TX,48453000700,48209010803,13,0,10,3,0,0,13,0,0,13
2019,TX,48453000700,48209010804,45,4,24,17,3,2,40,0,0,45
2019,TX,48453000700,48209010805,83,2,60,21,1,12,70,0,7,76
2019,TX,48453000700,48209010806,45,0,27,18,5,2,38,0,1,44
2019,TX,48453000700,48209010807,10,1,4,5,0,2,8,0,0,10
2019,TX,48453000700,48209010808,32,1,17,14,1,5,26,0,0,32
2019,TX,48453000700,48209010809,47,1,25,21,2,2,43,0,4,43
2019,TX,48453000700,48209010901,163,8,91,64,12,18,133,0,0,163
2019,TX,48453000700,48209010902,233,18,155,60,8,32,193,1,0,232
2019,TX,48453000700,48209010905,78,8,50,20,2,13,63,0,0,78
2019,TX,48453000700,48209010906,156,25,104,27,4,35,117,2,1,153
2019,TX,48453000700,48209010907,92,13,54,25,4,16,72,0,0,92
2019,TX,48453000700,48209010908,207,38,136,33,4,41,162,0,3,204
2019,TX,48453000700,48209010909,89,14,61,14,2,19,68,0,2,87
2019,TX,48453000700,48209010910,95,14,64,17,5,20,70,1,0,94
2019,TX,48453000700,48453000101,74,11,47,16,2,5,67,0,0,74
2019,TX,48453000700,48453000102,28,0,9,19,1,3,24,0,0,28
2019,TX,48453000700,48453000203,24,6,16,2,0,3,21,0,4,20
2019,TX,48453000700,48453000204,52,1,40,11,1,7,44,0,3,49
2019,TX,48453000700,48453000205,91,22,57,12,5,13,73,0,1,90
2019,TX,48453000700,48453000206,49,10,28,11,5,4,40,0,2,47
2019,TX,48453000700,48453000302,90,24,51,15,5,16,69,0,0,90
2019,TX,48453000700,48453000304,53,13,36,4,2,5,46,0,2,51
2019,TX,48453000700,48453000305,61,21,29,11,3,11,47,0,1,60
2019,TX,48453000700,48453000306,169,38,97,34,6,17,146,0,5,164
2019,TX,48453000700,48453000307,36,5,24,7,1,6,29,0,1,35
2019,TX,48453000700,48453000401,45,13,22,10,3,4,38,0,2,43
2019,TX,48453000700,48453000402,70,20,44,6,1,13,56,0,2,68
2019,TX,48453000700,48453000500,55,13,32,10,0,11,44,0,0,55
2019,TX,48453000700,48453000601,11,8,2,1,6,5,0,0,0,11
2019,TX,48453000700,48453000603,23,19,3,1,3,13,7,0,3,20
2019,TX,48453000700,48453000604,15,12,2,1,4,4,7,0,4,11
2019,TX,48453000700,48453000700,88,6,52,30,8,10,70,2,4,82
2019,TX,48453000700,48453000801,20,7,9,4,3,0,17,1,0,19
2019,TX,48453000700,48453000802,48,6,39,3,2,6,40,0,1,47
2019,TX,48453000700,48453000803,49,10,34,5,3,9,37,0,0,49
2019,TX,48453000700,48453000804,25,6,18,1,2,9,14,0,0,25
2019,TX,48453000700,48453000901,36,10,22,4,8,5,23,0,1,35
2019,TX,48453000700,48453000902,85,26,47,12,3,18,64,0,1,84
2019,TX,48453000700,48453001000,45,9,29,7,2,16,27,2,2,41
