GEOID,car_access,transit_access,ratio
48453002412,739316,1233,0.0016677577652857505
48055960500,40987,1143,0.02788689096542806
48453000500,846289,32675,0.03860974206210881
48453002307,797313,9308,0.011674210755374614
48453001805,858588,6050,0.007046453013552484
48453001501,851429,4919,0.0057773460852284806
48453000901,844438,22620,0.02678704653272354
48453000802,812636,4734,0.005825486441654074
48453002212,720999,988,0.0013703209019707379
48491020602,713288,3279,0.004597021119099157
48453000305,833481,15707,0.018845060655251888
48453001823,867714,3465,0.003993251232548974
48491020327,681477,1958,0.0028731710681358285
48453001817,863538,12952,0.014998760911505921
48453002005,795282,4054,0.005097562877067505
48453001745,829228,14164,0.017080947580158896
48453001863,834562,3972,0.004759382766049736
48453001307,741955,6150,0.00828891240034773
48453002500,840649,6332,0.007532275658449603
48453002316,825101,5759,0.0069797515698078174
48021950600,6703,441,0.0657914366701477
48209010908,403461,1662,0.004119357261296631
48453000205,863087,17590,0.020380332457793943
48453001804,888893,12313,0.01385206093421818
48453000804,808069,12733,0.015757317753805677
48453001754,852887,12987,0.015227105114745565
48453001782,744243,437,5.87173812854135e-4
48453001714,307685,5088,0.016536392739327558
48055960102,11146,389,0.034900412704109096
48021950100,135846,716,0.005270674145723834
48453002110,760982,888,0.0011669132778436284
48453001811,859398,3919,0.004560168862389719
48491020113,461628,1321,0.0028616115140329443
48453000204,873766,30549,0.03496244990077435
48453001401,816135,32015,0.03922757877066907
48491020806,443585,2231,0.005029475748729105
48453002002,793006,4402,0.0055510298787146625
48453002108,753754,1369,0.001816242434534344
48453001505,857935,13437,0.015662025677935974
48453001713,729615,1457,0.0019969435935390583
48491020508,723452,3111,0.0043002161857317416
48491020409,715613,3111,0.00434732180661894
48453980000,571913,2570,0.004493690473900751
48491020706,569405,489,8.587911943168747e-4
48055960600,2263,368,0.16261599646486966
48021950300,58113,3679,0.06330769363137335
48453001846,756800,1165,0.0015393763213530655
48491020111,358464,1167,0.00325555704338511
48453002409,722229,1693,0.0023441318473780477
48453000203,881523,33130,0.0375826836055327
48453000401,863662,33768,0.03909862886175379
48453002419,665933,1228,0.001844029354304412
48453000601,820269,51833,0.06319024612657555
48453002004,786506,4194,0.005332445016312653
48491020321,550112,380,6.907684253388401e-4
48453001403,837007,8648,0.010332052181164553
48453000801,814519,4093,0.005025051594867646
48453001752,869218,11006,0.012661955918998456
48491020404,776071,1800,0.0023193754179707785
48453002429,693516,210,3.0280483795615384e-4
48453000604,866641,32344,0.03732110527888711
48453001504,846228,6864,0.008111289156113956
48453002201,792474,2107,0.0026587623063974337
48209010805,171697,1306,0.007606422942742156
48453001844,811412,7267,0.008955992763232489
48453002427,737652,1141,0.0015467998459978418
48209010909,253754,565,0.0022265658866461218
48453001829,828012,2037,0.002460109273778641
48453001853,798642,3088,0.003866563491526867
48453002318,667290,1319,0.0019766518305384465
48491021203,66667,2108,0.031619841900790494
48453002434,422376,424,0.001003844915430801
48453001753,892713,11745,0.013156523989232822
48453001746,658849,1837,0.002788195777788234
48453001832,837694,833,9.943965218803046e-4
48453002106,808946,3167,0.0039149708385973845
48453002319,726571,2733,0.0037615043815401386
48453001749,763276,7026,0.009205058196510829
48491021300,21386,301,0.014074628261479472
48491021201,190616,536,0.0028119360389474127
48453001850,855120,5657,0.006615445785386846
48453001854,180847,463,0.0025601751757010067
48453001859,367162,158,4.303277572297787e-4
48209010809,81973,2309,0.028167811352518512
48453001750,4596,4611,1.0032637075718016
48491021506,447006,285,6.375753345592677e-4
48453001778,335862,2604,0.00775318434356968
48055960101,210556,352,0.0016717642812363457
48453001000,838666,9592,0.011437210999372813
48453001833,831534,1755,0.0021105571149225406
48453002208,800564,4081,0.0050976561524125495
48453000206,839280,9390,0.011188161281098084
48021950501,34527,534,0.01546615692067078
48491020318,711765,3858,0.005420328338707298
48453001834,766022,13764,0.017968152350715777
48453001768,133863,3762,0.028103359404764574
48491020603,494255,1645,0.0033282414947749645
48491020804,404783,1588,0.003923089655445016
48453001841,702028,6289,0.008958332146296159
48453002435,428032,1200,0.002803528708133971
48453002113,810253,697,8.60225139555176e-4
48453001774,556494,887,0.0015939075713305086
48453001308,807971,9141,0.011313524866610311
48453001772,455088,1126,0.0024742467390922195
48491020328,589426,988,0.0016762070217465805
48491020109,134441,1031,0.007668791514493347
48491020202,28060,1211,0.04315751960085531
48491020326,640056,1394,0.0021779344307373107
48453001775,599372,770,0.0012846779629345382
48453001828,795356,1550,0.001948812858644431
48453002315,822549,5520,0.006710846405502894
48491021508,407943,3460,0.00848157708307288
48453001760,528374,6223,0.011777642351818976
48453001706,869996,6093,0.007003480475772302
48453001864,792257,4236,0.005346749855160636
48453002314,744515,1179,0.0015835812575972278
48491020114,409795,3806,0.00928757061457558
48491020408,777910,5071,0.006518748955534702
48209010702,15488,278,0.017949380165289255
48453001602,841886,2599,0.0030871163079086716
48453002211,730279,614,8.407745532871683e-4
48453002436,411085,1086,0.0026417894109490737
48021950700,14763,1287,0.08717740296687665
48453002426,551764,315,0.00057089625274573915
48491020701,769950,4437,0.00576271186440678
48491020405,820313,5691,0.006937595771370196
48453001738,759956,2634,0.0034659901362710474
48209010907,75864,393,0.005180322682695349
48021950802,19008,338,0.01778198653198653
48453001503,876531,21478,0.02450341174470726
48491020803,360342,886,0.002458775274600241
48453002308,771379,10115,0.013112879660970807
48453001843,849425,10279,0.012101127233128292
48453001860,743823,1660,0.0022317137275937957
48453001747,644966,1959,0.003037369411720928
48453001402,837000,13366,0.0159689366786141
48491020805,285816,1683,0.005888403728272735
48453001773,332515,4340,0.013052042764988045
48453001914,668316,1170,0.0017506688452767851
48491020507,699574,827,0.0011821479929214065
48453001748,642642,1598,0.002486609963245477
48055960300,84896,2118,0.024948171880889557
48453001770,652494,1387,0.0021256900446594146
48453002107,803477,1576,0.0019614749395440068
48491020107,223104,335,0.001501541881812966
48491020605,431411,204,4.728669412694623e-4
48453001857,775857,6391,0.00823734270619457
48453001818,863002,9780,0.011332534571182917
48453001821,842560,11537,0.013692793391568554
48453000700,867570,86821,0.10007376926357528
48453001812,884220,8534,0.00965144421071679
48453001605,885169,17049,0.019260728742194994
48491021100,242506,1120,0.0046184424302903844
48491020302,495175,1750,0.0035341041046094814
48491021502,653588,2159,0.0033033042222317425
48453001822,822224,6739,0.008196063359863006
